study,cancer_type,protein,transcript,expression
GTEX,GTEX Liver,Isoform 1,ENST00000345732,"{""label"": ""ENST00000345732"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -5.1525, ""whislo"": -9.966, ""whishi"": -1.51, ""fliers"": [], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Liver,Isoform 1,ENST00000389939,"{""label"": ""ENST00000389939"", ""med"": -3.626, ""q1"": -9.966, ""q3"": -1.831, ""whislo"": -9.966, ""whishi"": 0.8726, ""fliers"": [], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Liver,Isoform 1,ENST00000534668,"{""label"": ""ENST00000534668"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-0.1665, -3.308, -4.035, -2.114, -3.047, -3.047, -2.178, -2.466, 0.0718, -1.938, -1.392, -1.884, -4.293, -3.308, -1.994, -2.388, -1.318, -2.635, -3.816, -0.4719, -2.932, -1.086, -1.214, -2.178, -2.635], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Liver,Isoform 2,ENST00000528313,"{""label"": ""ENST00000528313"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-6.506, -2.727, -4.293, -2.466, -2.932, -2.727, -3.308, -3.308, -1.685, -5.012, -2.932, -3.308, -3.626, -3.626, -1.392, -4.035, -6.506, -2.635, -4.293, -4.035, -2.727, -3.047, -1.732, -2.635, -4.293, -4.608, -4.608], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Liver,Isoform 3,ENST00000532073,"{""label"": ""ENST00000532073"", ""med"": -1.994, ""q1"": -3.01825, ""q3"": -1.10975, ""whislo"": -5.574, ""whishi"": 0.8961, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -6.506], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Liver,Isoform 4,ENST00000532491,"{""label"": ""ENST00000532491"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.047, -3.308], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Liver,Isoform 5,ENST00000533306,"{""label"": ""ENST00000533306"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -7.371, ""whislo"": -9.966, ""whishi"": -3.816, ""fliers"": [-2.114, -2.466, -1.831, -2.053, -2.053, -2.053, -1.781, -1.685, -1.595, -2.315, -2.826, -0.8084, -2.635, -1.938, -1.831, -3.308, -2.932, -1.552, -1.595, -1.938, -1.214, -0.7834, -3.458, -3.458], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Lung,Isoform 1,ENST00000345732,"{""label"": ""ENST00000345732"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.626, -2.315, -2.178, -3.458, -5.012, -1.355, -1.831, -1.639, -1.248, -2.727, -1.884, -1.51, -2.245, -2.178, -2.548, -0.7108, -1.086, -1.639, -1.781, -1.732, -2.727, -2.548, -2.727, -4.035, -0.3201, -2.053, -1.781, -0.8863, -2.635, -1.994, -1.552], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Lung,Isoform 1,ENST00000389939,"{""label"": ""ENST00000389939"", ""med"": -0.5756, ""q1"": -2.4074999999999998, ""q3"": 0.637825, ""whislo"": -6.506, ""whishi"": 3.788, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Lung,Isoform 1,ENST00000534668,"{""label"": ""ENST00000534668"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -0.899875, ""whislo"": -9.966, ""whishi"": 2.025, ""fliers"": [], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Lung,Isoform 2,ENST00000528313,"{""label"": ""ENST00000528313"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.178, -2.315, -4.035, -4.608, -0.5543, -3.816, -4.608, -2.114, -1.086, -2.466, -1.056, -4.035, -2.635, -4.608, -4.293, -2.727, -5.012, -1.318, -2.388, -4.293, -1.355, -5.012, -5.574, -2.932, -2.932, -4.608, -2.053, -2.826, -2.245, -4.293, -2.826, -2.635, -3.308, -4.035, -2.315, -2.548, -1.552, -1.117, -2.932], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Lung,Isoform 3,ENST00000532073,"{""label"": ""ENST00000532073"", ""med"": 0.1966, ""q1"": -0.9476, ""q3"": 1.20525, ""whislo"": -4.035, ""whishi"": 4.063, ""fliers"": [-6.506, -9.966, -9.966, -4.608, -5.012, -9.966, -9.966], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Lung,Isoform 4,ENST00000532491,"{""label"": ""ENST00000532491"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.727, -0.9686, -1.994, -3.308, -2.114, -2.826, -2.727, -2.466, -1.781, -3.047, -2.388, -2.826, -1.938, -1.938, -1.355, -0.8863, -2.635, -2.053, -2.548], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Lung,Isoform 5,ENST00000533306,"{""label"": ""ENST00000533306"", ""med"": -4.0329999999999995, ""q1"": -9.966, ""q3"": -0.7588, ""whislo"": -9.966, ""whishi"": 2.078, ""fliers"": [], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Muscle,Isoform 1,ENST00000345732,"{""label"": ""ENST00000345732"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-5.012, -4.608, -6.506, -6.506, -4.035, -5.574, -4.608, -3.308, -5.574, -4.608, -5.574, -6.506, -5.574, -4.608, -5.574, -4.293, -5.012, -5.574, -4.293, -5.012, -5.574, -4.608, -3.626, -0.8863, -4.035, -5.574, -6.506, -5.574, -4.608, -3.047, -5.012, -5.012, -3.458, -5.574, -6.506, -4.608, -4.293, -5.574, -3.626, -4.608, -4.293, -5.574, -3.308, -5.574, -2.932, -6.506, -4.608, -5.574, -4.608, -5.012, -5.012, -4.608, -5.574, -5.012, -6.506, -6.506, -6.506, -5.574, -4.293, -6.506, -5.012, -4.035, -4.293, -6.506], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Muscle,Isoform 1,ENST00000389939,"{""label"": ""ENST00000389939"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-4.293, -4.035, -4.608, -3.816, -4.035, -3.626, -2.932, -5.574, -6.506, -6.506, -3.308, -4.035, -5.574, -5.012, -5.574, -3.308, -4.293, -4.608, -5.012, -3.308, -5.574, -4.293, -5.574, -3.308, -4.608, -6.506, -6.506, -2.388, -0.5756, -5.574, -5.012, -4.608, -2.932, -6.506, -6.506, -4.608, -5.574, -3.308, -6.506, -4.608, -5.012, -4.608, -6.506, -3.171], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Muscle,Isoform 1,ENST00000534668,"{""label"": ""ENST00000534668"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.458, -3.626, -6.506, -6.506, -4.035, -4.293, -5.012], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Muscle,Isoform 2,ENST00000528313,"{""label"": ""ENST00000528313"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-4.035, -5.012, -4.293, -5.574, -6.506, -4.293, -5.012, -4.293, -5.574, -4.035, -4.608, -4.608, -6.506, -4.608, -4.035, -3.626, -4.608, -3.626, -4.035, -5.012, -5.012, -3.308, -5.012, -5.574, -2.315, -3.816, -4.608, -3.626, -3.816, -4.608, -3.458, -2.727, -5.574, -4.035, -4.035, -4.293, -4.035, -5.574, -3.626, -3.816, -6.506, -4.608, -5.574, -5.012, -5.574, -5.012, -4.035, -5.574, -3.816, -5.012, -5.574, -5.012, -3.816, -5.574, -3.171, -5.012, -5.012, -3.458, -4.608, -4.293, -5.574, -5.574, -5.012, -6.506, -5.574, -3.458, -3.308, -4.608, -5.574, -5.012, -3.816, -4.035, -3.171, -3.458, -2.635, -4.035, -4.608, -4.293, -3.816, -3.816, -6.506, -6.506, -5.012, -1.831, -1.938, -4.035, -5.574, -4.293, -2.932, -5.012, -3.626, -3.047, -3.816, -5.012, -4.035, -3.458, -3.047], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Muscle,Isoform 3,ENST00000532073,"{""label"": ""ENST00000532073"", ""med"": -6.506, ""q1"": -9.966, ""q3"": -4.911, ""whislo"": -9.966, ""whishi"": -1.117, ""fliers"": [], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Muscle,Isoform 4,ENST00000532491,"{""label"": ""ENST00000532491"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-4.035, -3.047], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Muscle,Isoform 5,ENST00000533306,"{""label"": ""ENST00000533306"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.816, -3.816, -2.466, -4.608, -5.012, -3.171, -3.816, -4.035, -4.293, -3.458, -3.458, -3.626, -4.293, -2.114, -1.781, -6.506, -4.293, -3.626, -2.388, -2.932, -6.506, -4.035, -2.548, -2.053, -4.293, -4.293, -2.826, -5.012, -2.466, -3.816], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Nerve,Isoform 1,ENST00000345732,"{""label"": ""ENST00000345732"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.171, -3.047, -1.781, -2.114, -4.608, -3.626, -4.035, -2.053, -3.626, -2.466, -4.035, -3.626, -2.826, -3.171, -3.816, -2.932, -3.047, -2.315, -3.047, -4.035, -2.315, -4.608, -4.035, -1.51, -1.732, -4.293, -1.994, -3.308, -3.047, -3.626, -4.293, -2.727, -3.816, -2.388, -4.035, -1.181, -3.626, -4.293, -1.552, -2.053, -2.635, -2.727, -4.035, -1.552, -3.171, -4.293, -1.639, -2.315, -3.816, -3.308, -1.938, -3.816, -3.816, -1.938, -3.626, -3.047, -3.626], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Nerve,Isoform 1,ENST00000389939,"{""label"": ""ENST00000389939"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -2.826, ""whislo"": -9.966, ""whishi"": 1.59, ""fliers"": [], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Nerve,Isoform 1,ENST00000534668,"{""label"": ""ENST00000534668"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-1.318, 0.7916, -1.732, -1.086, -1.181, -2.826, -2.548, -3.816, -0.1665, -1.355, -5.012, -2.053, -4.035, -2.635, -3.171, -3.626, -1.994, -0.9686, -4.608, -2.826, -2.548, -1.938, -1.831], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Nerve,Isoform 2,ENST00000528313,"{""label"": ""ENST00000528313"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -5.012, ""whislo"": -9.966, ""whishi"": -0.3022, ""fliers"": [], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Nerve,Isoform 3,ENST00000532073,"{""label"": ""ENST00000532073"", ""med"": -2.9895, ""q1"": -5.012, ""q3"": -1.831, ""whislo"": -6.506, ""whishi"": 2.723, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Nerve,Isoform 4,ENST00000532491,"{""label"": ""ENST00000532491"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.826, -2.245, -3.047, -2.727, -2.178], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Nerve,Isoform 5,ENST00000533306,"{""label"": ""ENST00000533306"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.635, -1.595, -1.831, -0.9971, -1.392, -2.114, -1.026, -2.245, -3.458, -1.938, -0.7108, -1.283, -1.831, -3.816, -1.938, -6.506, -2.388, -6.506, -4.608, -1.781, -1.086, -2.932, -1.056, -1.355, -2.388, -2.548, -1.781, -5.574, -0.7588, -3.816, -1.781, -3.816, -5.012, -1.994, -1.117, -2.727, -0.3201, -1.732, -2.178, -3.816, -1.732, -0.6643, -3.626, -2.826, -3.626, -1.248, -1.149, -2.315, -1.214, -0.4719, -0.4521, -1.781], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Ovary,Isoform 1,ENST00000345732,"{""label"": ""ENST00000345732"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.816, -3.816, -4.293, -4.035, -6.506, -4.035, -3.047, -5.012, -4.293, -3.308, -2.932, -4.293, -4.608, -3.308, -2.826, -4.035], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Ovary,Isoform 1,ENST00000389939,"{""label"": ""ENST00000389939"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.171, -3.626, -2.466, -4.293, -3.047, -3.458, -4.293, -2.053, -3.816, 0.099, -2.388, 1.183, -2.826, -5.574, -4.035, -3.816, -1.781], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Ovary,Isoform 1,ENST00000534668,"{""label"": ""ENST00000534668"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-1.318, -2.727, -4.293, -4.608, -3.816], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Ovary,Isoform 2,ENST00000528313,"{""label"": ""ENST00000528313"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -5.4334999999999996, ""whislo"": -9.966, ""whishi"": -1.884, ""fliers"": [], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Ovary,Isoform 3,ENST00000532073,"{""label"": ""ENST00000532073"", ""med"": -5.292999999999999, ""q1"": -9.966, ""q3"": -3.626, ""whislo"": -9.966, ""whishi"": 1.27, ""fliers"": [], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Ovary,Isoform 4,ENST00000532491,"{""label"": ""ENST00000532491"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Ovary,Isoform 5,ENST00000533306,"{""label"": ""ENST00000533306"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.245, -6.506, -5.012, -0.7834, -2.388, -0.7834, -2.053, -2.826, -6.506, -4.293], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Pancreas,Isoform 1,ENST00000345732,"{""label"": ""ENST00000345732"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.816, -5.012, -4.608, -3.816, -5.574, -5.574, -5.012, -4.608, -5.574, -3.816, -5.574, -4.608, -4.608, -4.293, -5.012, -4.608, -5.012, -3.458, -4.293, -4.035, -3.308, -3.458, -4.608, -3.816, -5.574, -5.012, -5.574, -5.012], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Pancreas,Isoform 1,ENST00000389939,"{""label"": ""ENST00000389939"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-1.938, -5.574, -4.293, -3.458, -4.608, -2.727, -2.388, -4.608, -4.608, -2.932, -3.626, -5.012, -4.608, -4.293, -3.308, -1.781, -1.781, -3.816, -2.932, -4.608, -2.114, -4.608, -3.626, -4.035, -1.884, -5.012, -4.293, -3.458, -3.458, -4.293, -3.626, -3.458, -5.574, -4.608], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Pancreas,Isoform 1,ENST00000534668,"{""label"": ""ENST00000534668"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-4.293, -5.012, -4.608, -3.171, -1.732, -1.51, -3.458], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Pancreas,Isoform 2,ENST00000528313,"{""label"": ""ENST00000528313"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.458, -5.574, -4.035, -4.293, -3.458, -3.816, -1.248, -5.012, -4.035, -5.012, -4.035, -4.035, -3.458, -5.574, -5.012, -4.293, -4.293, -5.012, -5.574, -2.114, -5.012, -4.293, -4.608, -5.574, -4.035, -5.574, -3.308, -4.293, -4.608, -3.626, -6.506, -5.574, -5.574, -4.035, -5.012, -3.626, -4.608, -4.608, -4.035], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Pancreas,Isoform 3,ENST00000532073,"{""label"": ""ENST00000532073"", ""med"": -5.012, ""q1"": -9.966, ""q3"": -4.035, ""whislo"": -9.966, ""whishi"": -0.7834, ""fliers"": [], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Pancreas,Isoform 4,ENST00000532491,"{""label"": ""ENST00000532491"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Pancreas,Isoform 5,ENST00000533306,"{""label"": ""ENST00000533306"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-5.012, -4.293, -2.727, -4.293, -4.293, -5.574, -5.012, -5.012, -4.293, -4.608, -4.035, -3.458, -4.293, -2.727, -2.548, -2.548, -5.012, -4.608, -3.816, -3.816, -5.012], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Pituitary,Isoform 1,ENST00000345732,"{""label"": ""ENST00000345732"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.626, -2.826, -3.626, -4.608, -2.727, -2.548, -6.506, -2.727, -3.816, -5.012, -4.035, -5.012, -5.012, -1.781, -2.114, -3.171, -3.308, -4.608, -3.047, -2.245, -2.826, -4.608, -4.035, -3.626, -3.308], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Pituitary,Isoform 1,ENST00000389939,"{""label"": ""ENST00000389939"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -3.721, ""whislo"": -9.966, ""whishi"": 0.8647, ""fliers"": [], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Pituitary,Isoform 1,ENST00000534668,"{""label"": ""ENST00000534668"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-6.506, -2.315, -3.047, -1.248, -2.388, -4.293, -2.245], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Pituitary,Isoform 2,ENST00000528313,"{""label"": ""ENST00000528313"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.626, -3.816, -4.035, -5.574, -2.727, -6.506, -4.293, -3.171, -3.626, -3.816, -6.506, -2.826, -6.506, -6.506, -2.826, -6.506, -2.727, -1.392, -3.816, -3.047, -5.574, -2.932, -3.626, -4.608], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Pituitary,Isoform 3,ENST00000532073,"{""label"": ""ENST00000532073"", ""med"": -3.626, ""q1"": -9.966, ""q3"": -2.727, ""whislo"": -9.966, ""whishi"": 0.434, ""fliers"": [], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Pituitary,Isoform 4,ENST00000532491,"{""label"": ""ENST00000532491"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Pituitary,Isoform 5,ENST00000533306,"{""label"": ""ENST00000533306"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-1.51, -4.293, -2.727, -2.548, -5.574, -1.685, -1.938, -2.932, -3.626, -2.727, -2.315, -1.117, -2.053, -1.51], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Prostate,Isoform 1,ENST00000345732,"{""label"": ""ENST00000345732"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-6.506, -4.035, -0.2498, -3.308, -1.283, -2.114, -3.171, -3.626, -2.826, -4.035, -2.932, -3.171, 0.8488, -4.035, -3.047, -4.293, -4.293, -4.035, -2.388, -2.114, -2.932], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Prostate,Isoform 1,ENST00000389939,"{""label"": ""ENST00000389939"", ""med"": -4.0545, ""q1"": -9.966, ""q3"": -0.906475, ""whislo"": -9.966, ""whishi"": 4.83, ""fliers"": [], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Prostate,Isoform 1,ENST00000534668,"{""label"": ""ENST00000534668"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [0.1257, 1.092, 2.263, -1.117, -1.732, -5.574, -1.639, -1.283, 0.0718, -1.392, -1.214, 2.057, 1.896, 1.05, -4.035, -0.3566, -2.727, 0.8883], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Prostate,Isoform 2,ENST00000528313,"{""label"": ""ENST00000528313"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-4.293, -6.506, -3.047, -3.816, -1.994, -4.293, -4.608, -4.293, -3.047, -5.574, -0.1031, -5.012, -2.635, -3.047, -2.178, -3.458, -1.938, -4.035, -6.506, -4.035, -5.012, -4.608], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Prostate,Isoform 3,ENST00000532073,"{""label"": ""ENST00000532073"", ""med"": -2.826, ""q1"": -4.293, ""q3"": -0.187075, ""whislo"": -9.966, ""whishi"": 5.404, ""fliers"": [], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Prostate,Isoform 4,ENST00000532491,"{""label"": ""ENST00000532491"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-1.552, -2.635, -1.248, -1.831], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Prostate,Isoform 5,ENST00000533306,"{""label"": ""ENST00000533306"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-1.248, -3.047, -1.639, -3.816, -1.938, -3.816, -1.781, -1.595, -1.994, 2.785, -2.548, -2.178, -0.4921, 1.732, -2.245, -1.181, 2.186, -2.388, -3.626, -1.431, -0.1031, -2.245, -1.392, -3.308], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Salivary Gland,Isoform 1,ENST00000345732,"{""label"": ""ENST00000345732"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-4.293, -2.932, -3.626, -3.816, -3.047, -4.293, -4.293, -0.8863, -2.315, -3.047], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Salivary Gland,Isoform 1,ENST00000389939,"{""label"": ""ENST00000389939"", ""med"": -4.608, ""q1"": -9.966, ""q3"": -2.427, ""whislo"": -9.966, ""whishi"": 0.099, ""fliers"": [], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Salivary Gland,Isoform 1,ENST00000534668,"{""label"": ""ENST00000534668"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-1.181, -1.47, -2.548, -1.056, -1.994, 0.8568, -2.388, -2.635, -1.781], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
